brand,price
Sensor de pressão de ar coletor MA para Nissan 370Z Infiniti Q50 Q70 G37 M56 QX56·,197.96
"Dual Triple Monitor 1080P IPS FHD Monitor Screen Extender für 13''-17,3"" Laptops",1712.78
"Monitor IPS 10,5 polegadas compatível com HDMI tela legível monitor tocável para laptop",486.08
Monitor de dados PC CPU 5 polegadas IPS USB C TIPO C para exibição de temperatura AIDA64 PC CPU,337.25
"Monitor portátil tela LCD AV VGA HDMI 7"" 9"" 10.1"" alto-falantes embutidos",277.06
"3.5"" Capacitive Touch Screen HDMI LCD Display Monitor For Raspberry Pi 3B+ 4B",132.13
"8.8"" LCD Screen 1920*480 HDMI Secondary Display AIDA64 CPU GPU SSD Info Monitor",426.99
"Tela LCD 8,8"" HDMI tela secundária AIDA64 CPU GPU SSD monitor de informações 1920*480",392.58
"Monitor de tela tripla portátil 15,6 polegadas 1080P laptop monitor duplo extensor cinza",2269.61
"Monitor subdisplay 8,8"" faixa longa LCD tela sensível ao toque 1920*480 USB-HDMI para carro",444.48
"Monitor subdisplay 8,8"" tela LCD faixa longa 1920*480 USB-HDMI para carro computador",514.33
"Monitor para jogos genuíno HUAWEI MateView SE 23,8"" IPS tela cheia 75Hz",1997.47
"Monitor portátil 1920*1080P 14,0"" laptop IPS FHD tela dupla extensor",744.74
"Tela legível para luz solar 15,6"""" 1920x1080 1200 nits alto brilho com HDMI FAÇA VOCÊ MESMO",1063.6
Sensor de pressão de ar coletor MA para Nissan 370Z Infiniti Q50 Q70 G37 M56 QX56、,201.83
"Écran Secondaire 3.5 Pouces IPS TYPE-C, Affichage Pour Freely AIDA64, HLFEC",204.62
Almofada de espaçamento barra de luz monitor de computador Mi,57.73
"Mini 7"" LCD CCTV PC Monitor Tela HD 1024*600 AV/RCA VGA HDMI 1080P com Alto-falante",304.77
"Tela LCD 8,8"" 1920*480 HDMI tela secundária AIDA64 CPU GPU SSD monitor de informações",415.87
"Monitor de tinta eletrônica colorido Dasung 12"" - Trabalhe sem a tensão - Experiência semelhante a papel",3689.31
"Monitor de tela sensível ao toque IPS 15,6 polegadas 1080P 16:9 relação de tela suporte mesma tela ZZ1",454.19
Monitor portátil IPS de 7 polegadas HD 1024x600 tela sensível ao toque PC tela para Raspberry Pi,333.32
Módulo de exibição LCD de 2 polegadas ST7789 driver tela IPS 240×320 SPI LED luz de fundo 3.3V,93.18
Monitor portátil tela LCD de 7 polegadas com entrada AV VGA HDMI para PC DSLR,282.83
Saída de áudio tela sensível ao toque capacitiva 7 polegadas HDMI LCD (H) (com estojo) 1024x600 IPS,334.5
"Monitor HDMI 5,5 polegadas 1080P tela LCD IPS para Raspberry Pi",358.76
Painel de vidro LCD HDMI 5 polegadas 720x1280 tela sensível ao toque capacitiva de 5 pontos IPS,383.86
Tela LCD sensível ao toque 5 polegadas HDMI LCD (G) 800x480 para mais mini-PCs e sistema,296.11
"Tela de exibição 10,5 polegadas compatível com HDMI painel sensível ao toque alta definição para laptop",509.51
"Monitor extensor 2 x 14"" telas para qualquer laptop, IPS, 1920*1080",2555.23
"Faça Você Mesmo 12,6 polegadas NV126B5M Tela LCD Para PC Case Hyte Y60 Aida64 CPU Monitor GPU",776.21
"Monitor para jogos portátil GTMEDIA 165Hz 17,3"" extensor de tela IPS QHD 2560*1440",1464.24
Raspberry Pi 5.5 Polegadas 1440×2560 Toque Capacitivo Hdmi 2K Lcd Tela Display in-plane de comutação,394.83
3.5inch Second Monitor 320x480 Sub Display for PC Computers/mini ITX Chassis/CPU,127.79
"AIDA64 12,6 Polegadas Tela LCD Monitor de Tela Secundária Para PC Case Faça Você Mesmo",749.13
Módulo de exibição sensível ao toque capacitivo de 2 polegadas 240×320 IPS display ST7789T3 unidade de exibição,115.41
"Monitor LCD IPS 7"" USB HDMI tela sensível ao toque 1024x600 para PC Raspberry Pi",233.81
Monitor WINCOR NIXDORF 9 polegadas Super VGA monocromático TM-9AF NOVO PN:1750025664,1431.75
"Tela secundária 8,8 polegadas IPS tipo-C PC tela de temperatura 1920*480 para PC Case",518.2
Monitor secundário para PC porta USB compatível com HDMI LCD faixa longa 480X1920 para AIDA64,505.1
Monitor de computador IPS de 5 polegadas tela CPU GPU RAM HDD USB PC tela secundária,336.4
"Tela sensível ao toque capacitiva Waveshare 6,25 polegadas DSI para Raspberry Pi 720 × 1560 IPS",417.0
"Monitor LCD ultrafino 10"" tela AV/RCA/VGA/HDMI vídeo para DSLR Raspberry Pi 3B+",372.26
Botão de toque 7 polegadas LCD ultrafino CCTV PC monitor tela AV/RCA/VGA/HDMI 1080P,282.83
"Tela LCD 8,8"" 1920*480 HDMI tela secundária AIDA64 CPU GPU SSD monitor de informações",457.24
"Monitor de metal industrial incorporado Full HD de 17,3 polegadas versão normal sem toque EOM",603.78
"Tela sensível ao toque redonda DSI LCD (C) 3,4 polegadas 800 × 800 IPS 10 pontos toque colorida",499.04
Monitor de computador 24 polegadas VGA DC 16:10 HD LCD tela para Securit BST,601.25
"Monitor LCD IPS 7"" USB HDMI tela sensível ao toque 1024x600 para PC Raspberry Pi",254.02
"Tela sensível ao toque capacitiva multiponto 15,6 polegadas 1920x1080 todo metal industrial Mo BST",843.45
Viltrox DC-550 Pro Monitor Lcd 5.5 polegadas alta luminosidade 1920*1080 Full Hd 3D Lut,976.7
"Monitor LCD CCTV 8""/10.1"" HDMI BNC AV VGA USB para carro/segurança/PC/Laptop",363.65
"Novo monitor LCD IPS tela sensível ao toque capacitiva HDMI 10,1"" para Raspberry Pi",549.12
"Monitor LCD IPS 11,6"" 1920x1080 HDMI BNC AV VGA tela para câmera de segurança CCTV",605.72
"Monitor de segurança LCD IPS 8"" AV HDMI BNC VGA entrada tela colorida para CCTV PC DSLR",391.94
Toque capacitivo de 5.5 POLEGADAS AMOLED exibição HDMI 1080×1920 Com Estojo De Proteção,745.84
Tela LCD DPI de 7 polegadas para Raspberry Pi 1024×600 DPI interface IPS sem toque,202.87
"Monitor de tela sensível ao toque IPS 15,6 polegadas 1080P 16:9 relação de tela suporte mesma tela GF0",456.79
"Tela sensível ao toque capacitiva IPS 10,1 polegadas 800×1280 interface DSI de toque de 10 pontos",378.38
Capa bicolor para LCD de 7 polegadas para Waveshare 7 polegadas HDMI LCD (B) e 7 polegadas HDMI LCD (C),82.21
"Monitor HD 10.1"" para segurança de carro PC laptop tela LCD CCTV HDMI BNC AVI VGA",431.2
"Monitor de CFTV 10.1"" TFT LCD HDMI/BNC/AV/VGA para carro/segurança/PC/Laptop",404.07
LG StanbyME GO 27 polegadas tela sensível ao toque sem fio portátil tela alta definição total 27LX5QKNA nova,2707.63
Genera 1.3 Polegadas Módulo Lcd Display Tela de comutação in-plane 240x240 interface SPI Cor Rgb 65K,82.21
"Ultra Fina 10.1"" Lcd Tela Do Monitor Áudio Vídeo/Rca/Vga/Hdmi 1080p Para Digital single-lens Reflexo Raspberry Pi",282.83
"Monitor portátil 7,84 HDMI 400*1280 tela secundária para CPU GPU Aida64",380.34
Viltrox DC-550 Pro Monitor Lcd 5.5 polegadas alta luminosidade 1920*1080 Full Hd 3D Lut,805.37
"Monitor LCD CCTV 7""/10""/10.1"" tela de PC AV/RCA/VGA/HDMI para DSLR framboesa",277.06
"Tela LCD IPS de 1,3 polegadas HAT 240x240 SPI suporta todas as placas Raspberry Pi Series",104.15
4 polegadas e-Paper HAT+ (E) tela de papel eletrônico colorida 600×400 comunicação SPI,394.83
Koorui - 27E1QA - Monitor,1712.23
New 5.5 inch IPS LCD Display HDMI Screen 1080P For Raspberry Pi,347.46
"Monitor portátil mini bar 7,9 pol. IPS LCD tela secundária 400x1280 HDMI",355.17
